ID,Patent_industry,University,Patent_count,Turnover_lay,Turnover_2012,Total_assets_2012,Employees_2012,R&D_2012,Country_code
Bridgestone Corporation,5,0,672,32271274,35121178,35115551,143448,956684,4
Denso Corporation,5,0,20118,48105196,38034234,42263337,132276,3563038,4
AISIN SEIKI KABUSHIKI KAISHA,5,0,2214,302352,0,0,0,0,4
Aisin AW Co. Ltd.,5,0,1246,13036274,0,0,0,0,4
Toyota Jidosha Kabushiki Kaisha,5,0,9120,276669260,234351491,376880705,333498,8576251,4
Honda Motor Co. Ltd.,5,0,8143,144657174,104917126,144825890,190338,5950823,4
Advics Co. Ltd.,5,0,128,2103944,0,0,0,0,4
Nippon Soken Inc.,5,0,374,0,0,0,0,0,4
JTEKT Corporation,5,0,490,13571616,11338567,10907414,41714,386139,4
Keihin Corporation,5,0,126,3310048,3132693,2389336,20807,8603,4
DENSO International America Inc.,5,0,8,48105196,38034234,42263337,132276,3563038,4
Konami Co. Ltd.,5,0,14,2255363,2400372,3430144,5538,377642,4
Nifco Inc.,5,0,162,2554873,1486097,1898832,7979,18864,4
Toyoda Gosei Co. Ltd.,5,0,1764,7599001,6368720,5200680,30190,289740,4
Toyooki Kogyo Co. Ltd.,5,0,6,0,0,0,0,0,4
Toyota Motor East Japan Inc.,5,0,2,6064321,0,0,0,0,4
Nissin Kogyo Co. Ltd.,5,0,130,280413,230547,86000,465,0,4
NSK LTD.,5,0,473,9608607,7783771,9373840,28487,110802,4
Fuji Kiko Co. Ltd.,5,0,114,1006381,1094721,654052,3712,12523,4
Nippon Light Metal Company Limited,5,0,48,3199671,3199671,2814339,1973,0,4
Gentest Corporation,5,0,2,0,0,0,0,0,1
Yamaha Hatsudoki Kabushiki Kaisha,5,0,1037,14792648,13953495,11118764,53958,805465,4
Taiho Kogyo Ltd.,5,0,2,1079810,914519,935072,3817,34010,4
Mitsui High-Tec Inc.,5,0,50,723328,600110,547722,2873,3294,4
MEC International Co. Ltd.,5,0,2,0,0,0,0,0,1
Fuji Jukogyo Kabushiki Kaisha,5,0,405,32067246,20318301,16754690,27509,524472,4
Honda Access Corp.,5,0,36,892263,718486,527922,686,0,4
Aisin Keikinzoku Kabushiki Kaisha,5,0,21,582349,620117,359299,1325,0,4
Saga Tekkohsho Co. Ltd.,5,0,2,642847,663650,769322,1448,0,4
Kyosan Denki Co. Ltd.,5,0,7,547518,519175,331350,1458,0,4
Toyo Tire & Rubber Co. Ltd.,5,0,102,3587236,3363489,4093414,9777,71762,4
Hitachi Metals Ltd.,5,0,644,9306931,5690696,5749188,17308,117642,4
Takata Corporation,5,0,252,5912834,4413394,4097419,36152,207669,4
Illinois Tool Works Inc.,5,0,803,30000000,0,0,0,0,1
Tokai Rubber Industries Ltd.,5,0,338,4359026,2801115,3442740,18035,103006,4
Novelis Inc.,0,0,0,0,0,0,0,0,1